"字段1"
"关于做好暑期前后实验室安全工作的通知 2018-07-04"
"科研院关于申报国防科技工业强基工程基础研究与前沿技术项目项目的通知 2018-07-06"
"科研院关于申报国防科技工业强基工程军工“双百”工艺攻关专项行动项目的通知 2018-07-06"
"关于推荐全国绿化奖章候选人的公示 2018-07-06"
"科研院转发国家自然科学基金委员会关于发布“2018年度国家自然科学基金委员会与比利时法语区基础研究基金会合作交流项目指南”的通告 2018-07-06"
"科研院转发国家自然科学基金委员会关于发布“2019年度国家自然科学基金委员会与日本学术振兴会合作与交流项目指南”的通告 2018-07-06"
"科研院转发科技部关于发布国家重点研发计划“蓝色粮仓科技创新”等重点专项2018年度项目申报指南的通知 2018-07-06"
"社科院关于申报2018年省教育厅一般科研项目（人文社科类）的通知 2018-07-06"
"关于正式订购Cairn法语数据库的通知  2018-07-06"
"浙江大学信息与电子工程学院科职岗位校内招聘启事 2018-07-06"
"浙江大学发展规划处管理岗位招聘启事 2018-07-06"
"浙江大学关于吴勇军等职务任免的通知  2018-07-06"
"请各单位上报2018年普通教工体检名单的通知 2018-07-06"
"关于许翾等同志任前公示的通知 2018-07-05"
"关于举办“智汇紫金”之智能家居行业高端对话的通知 2018-07-05"
"浙大科协转发省院士工作站关于开展2019年度院士行业科技战略咨询项目申报的通知 2018-07-05"
"浙大科协转发省院士工作站关于开展2019年度院士行业科技战略咨询项目的选题征集的通知 2018-07-05"
"劳务派遣人员招聘启事（派遣至浙江大学国际教育学院外国专家留学生服务中心） 2018-07-05"
"劳务派遣人员招聘启事（派遣至浙江大学国际教育学院） 2018-07-05"
"劳务派遣人员招聘启事（派遣至浙江大学动物科学学院彭金荣教授团队） 2018-07-05"
"浙江大学学术委员会关于“科学的声音”科普作品大赛作品征集的通知 2018-07-05"
"校园交通温馨提醒 2018-07-05"
"关于公布浙大2018年DMB研究生国际组织志愿实习生短期项目推荐人员名单的通知 2018-07-05"
"关于公布余杭区块商品房申购三榜及选房有关事项的通知 2018-07-04"
"科研院关于开展2018年省教育厅一般科研项目立项工作的通知 2018-07-04"
"关于公示浙江大学本科生学科竞赛认定项目的通知 2018-07-04"
"浙江大学本科生学科竞赛项目认定和推荐免试研究生等政策实施细则（试行）(浙大本发〔2018〕26号文件） 2018-07-04"
"营业用房公开招租公告（港湾家园22幢14号商铺） 2018-07-04"
"营业用房公开招租公告（港湾家园22幢13号商铺） 2018-07-04"
"营业用房公开招租公告（港湾家园22幢12号商铺） 2018-07-04"
"关于推进“最多跑一次“改革，开通“在职教职工人事证明开具”网上办理的通知 2018-07-04"
"关于启动办理劳务派遣人员换发校园卡等事项的通知 2018-07-04"
"劳务派遣人员招聘启事（派遣至浙江大学采购中心） 2018-07-04"
"劳务派遣人员招聘启事（派遣至浙江大学医学院纪俊峰教授课题组） 2018-07-04"
"关于做好2018年省教育厅大学生思想政治教育专项课题立项工作的通知 2018-07-04"
"公布2018年卫生技术高级职务临床教学规范考试通过人员名单 2018-07-04"
"公布2018年卫生技术高级职务业务考试通过人员名单 2018-07-04"
"劳务派遣人员招聘启事（派遣至浙江大学建筑工程学院） 2018-07-03"
"劳务派遣人员招聘启事（派遣至浙江大学公共管理学院） 2018-07-03"
"劳务派遣人员招聘启事（派遣至浙江大学医学院周春研究员课题组） 2018-07-03"
"劳务派遣人员招聘启事（派遣至浙江大学医学院钱鹏旭研究员实验室） 2018-07-03"
"科研院转发国家自然科学基金委员会关于发布“2018年度国家自然科学基金委员会与地球可持续发展全球框架计划合作交流项目指南”的通告 2018-07-03"
"关于办理西湖区块人才专项房第一、二批补充申购和第三批申购购房手续的通知（更新） 2018-07-03"
"科研院关于举办2018年度第二期院系科研管理工作系列培训的通知 2018-07-03"
